Sentiment,OnChain,Buy_Thresh,Sell_Thresh,Stop_Loss,Take_Profit,Trailing,Trail_Decay,Return_Pct,BH_Return,Max_DD,Sharpe,Trades,Final_Eq,Duration_Sec
True,True,0.55,0.4,0.05,0.25,False,0.15,-17.024278764082084,428.708778540893,-37.94152745196671,-0.26945700802787864,301,8297.572123591792,24.4
True,True,0.55,0.4,0.05,0.25,False,0.05,-17.024278764082084,428.708778540893,-37.94152745196671,-0.26945700802787864,301,8297.572123591792,25.0
True,True,0.55,0.4,0.05,0.25,False,0.1,-17.024278764082084,428.7178480460797,-37.94152745196671,-0.26945700802787864,301,8297.572123591792,24.7
True,True,0.55,0.4,0.1,0.35,False,0.15,-17.984126495976742,428.49519874258135,-40.62064276785865,-0.2750340521917855,301,8201.587350402326,21.2
True,True,0.55,0.4,0.1,0.35,False,0.1,-17.984126495976742,428.49519874258135,-40.62064276785865,-0.2750340521917855,301,8201.587350402326,18.7
True,True,0.55,0.4,0.1,0.35,False,0.05,-17.984126495976742,428.49519874258135,-40.62064276785865,-0.2750340521917855,301,8201.587350402326,19.8
True,True,0.55,0.4,0.1,0.3,False,0.1,-18.381016812343788,428.58293328239387,-40.2560067768087,-0.2933000586388995,298,8161.898318765621,20.9
True,True,0.55,0.4,0.1,0.3,False,0.15,-18.381016812343788,428.58293328239387,-40.2560067768087,-0.2933000586388995,298,8161.898318765621,18.8
True,True,0.55,0.4,0.1,0.3,False,0.05,-18.381016812343788,428.58293328239387,-40.2560067768087,-0.2933000586388995,298,8161.898318765621,18.7
True,True,0.55,0.4,0.1,0.25,False,0.05,-18.715692368671906,428.4958096418944,-40.30487397598124,-0.2993301520156801,298,8128.430763132809,19.2
True,True,0.55,0.4,0.1,0.25,False,0.1,-18.715692368671906,428.4958096418944,-40.30487397598124,-0.2993301520156801,298,8128.430763132809,18.9
True,True,0.55,0.4,0.1,0.25,False,0.15,-18.715692368671906,428.4958096418944,-40.30487397598124,-0.2993301520156801,298,8128.430763132809,21.6
True,True,0.55,0.4,0.05,0.35,False,0.15,-19.52725304152367,428.4593906443825,-39.98588680691788,-0.315333836742493,299,8047.274695847633,25.2
True,True,0.55,0.4,0.05,0.35,False,0.05,-19.52725304152367,428.5857528176851,-39.98588680691788,-0.315333836742493,299,8047.274695847633,25.5
True,True,0.55,0.4,0.05,0.35,False,0.1,-19.52725304152367,428.5857528176851,-39.98588680691788,-0.315333836742493,299,8047.274695847633,27.7
True,True,0.55,0.4,0.05,0.15,True,0.15,-20.828888458671663,428.7178480460797,-43.08585033422025,-0.30836945073978567,278,7917.111154132834,24.7
True,True,0.55,0.4,0.05,0.3,True,0.15,-20.842913458671664,428.61860040382805,-43.08585033422025,-0.30861260524403783,278,7915.7086541328335,22.6
True,True,0.55,0.4,0.05,0.25,True,0.15,-20.851380255546673,428.5586852788891,-43.08585033422025,-0.30875939956112025,278,7914.861974445333,22.8
True,True,0.55,0.4,0.05,0.35,True,0.15,-20.86052439617166,428.49397694395515,-43.08585033422025,-0.3089179404396062,278,7913.947560382834,22.4
True,True,0.55,0.4,0.05,0.5,True,0.15,-20.861487286796667,428.4871630670013,-43.08585033422025,-0.30893463519406483,278,7913.851271320334,21.9
True,True,0.55,0.4,0.05,0.15,True,0.1,-21.239044775741984,428.7389475685092,-43.24471067320438,-0.3152923800334992,279,7876.095522425801,20.8
True,True,0.55,0.4,0.05,0.15,True,0.05,-21.24202641636699,428.7178480460797,-43.24471067320438,-0.31534439990664775,279,7875.797358363301,22.0
True,True,0.55,0.4,0.05,0.3,True,0.1,-21.25605141636699,428.61860040382805,-43.24471067320438,-0.315589094245448,279,7874.394858363301,23.1
True,True,0.55,0.4,0.05,0.3,True,0.05,-21.25605141636699,428.61860040382805,-43.24471067320438,-0.315589094245448,279,7874.394858363301,23.5
True,True,0.55,0.4,0.05,0.25,True,0.05,-21.264518213242,428.5586852788891,-43.24471067320438,-0.31573681769766526,279,7873.5481786758,17.4
